Option_Type,Strike,Maturity,Price,Std_Error
call,0.03,0.5,0.004807304962833604,6.120416410464683e-05
call,0.03,1.0,0.004752918628267136,6.124151585900309e-05
call,0.03,2.0,0.004434143626719893,5.761467316560706e-05
call,0.04,0.5,0.001022499610304188,2.7921886102882312e-05
call,0.04,1.0,0.0010843237010691438,2.9489301250105646e-05
call,0.04,2.0,0.001019257057897262,2.8108207576819742e-05
call,0.05,0.5,0.00011298461994454972,8.86260270172744e-06
call,0.05,1.0,9.792559124934867e-05,7.813013186067592e-06
call,0.05,2.0,9.37025148615365e-05,7.855241216839146e-06
put,0.03,0.5,0.002979980431632332,4.88539778774542e-05
put,0.03,1.0,0.002830871614712967,4.755213406799634e-05
put,0.03,2.0,0.0027207416415633654,4.613862838005465e-05
put,0.04,0.5,0.008971821093054924,7.734124051826476e-05
put,0.04,1.0,0.008919511237110576,7.75971772906353e-05
put,0.04,2.0,0.008667462680831968,7.478205975167883e-05
put,0.05,0.5,0.01793945082018555,9.143415125000793e-05
put,0.05,1.0,0.01751417379868398,9.011702495050612e-05
put,0.05,2.0,0.01719478976637934,8.773727861872426e-05
swaption_receiver,0.03,0.5,0.014391951825275535,0.00024170891008107738
swaption_receiver,0.03,1.0,0.014619281167865386,0.00024399284953045052
swaption_receiver,0.03,2.0,0.013585395446766095,0.00022803806277280628
swaption_receiver,0.04,0.5,0.04529894683312542,0.0003908272625317229
swaption_receiver,0.04,1.0,0.04412082359084542,0.0003816061755557793
swaption_receiver,0.04,2.0,0.04315995306890466,0.0003734408266901684
swaption_receiver,0.05,0.5,0.08950894838462013,0.0004572878292325442
swaption_receiver,0.05,1.0,0.08732533122974057,0.00044715048711376306
swaption_receiver,0.05,2.0,0.08509088838641553,0.00043384218948373484
swaption_payer,0.03,0.5,0.0239205569227283,0.00030912215801270676
swaption_payer,0.03,1.0,0.023383326620602468,0.00029929231161320604
swaption_payer,0.03,2.0,0.022736306583863823,0.0002910511399765977
swaption_payer,0.04,0.5,0.0049507999633540325,0.00013703329290031186
swaption_payer,0.04,1.0,0.005225427281687813,0.0001436337789928851
swaption_payer,0.04,2.0,0.004756301818077398,0.0001313295821960275
swaption_payer,0.05,0.5,0.00043878253461624003,3.79557680412438e-05
swaption_payer,0.05,1.0,0.00047559377885544006,3.9366390679497395e-05
swaption_payer,0.05,2.0,0.0005653817092120441,4.247083543105076e-05
