Parameter,Value,Mean,StdDev,VaR_95,CVaR_95
a,0.05,-91000.95396235304,54151.31175149696,87863.00706533909,105461.04881729283
a,0.1,-84028.85417586827,51749.49353239459,84233.71813117401,108856.48631545517
a,0.15,-79967.26404276559,50347.855721344844,82549.52463743663,100176.51806323997
a,0.2,-75311.59594354233,50589.182211213134,84200.20519704522,104014.48185409252
a,0.3,-66398.83373640265,48662.46287428021,77429.54941543358,104135.26012296703
b,0.02,-101511.47695313331,53894.38007134842,88187.93353681655,111147.8539943371
b,0.03,-95534.28394067456,52953.0512033039,90754.09817714983,109700.65143396513
b,0.04,-91044.64981111421,52937.916002729144,85568.04841196054,111827.83693349223
b,0.05,-85132.74388283545,51468.89041479909,82151.8559593706,109293.89425035904
b,0.06,-77561.78784286772,52544.659202856266,85713.70926707837,103828.4210606264
sigma,0.005,-83862.0218348027,26114.6288824409,44204.13325638065,55476.448438385625
sigma,0.01,-83860.48558300227,51967.60400756457,89280.89819487071,106941.88910321539
sigma,0.015,-85897.65938227845,78448.74424457908,123665.78906670396,156480.3141309741
sigma,0.02,-85789.15010160228,103155.27732324431,172876.17762185284,211407.25071329306
sigma,0.03,-80169.55734541785,160237.26390375214,269776.16693247546,341051.4837083593
