Scenario,Mean Value,Std Dev,5th Percentile,95th Percentile,VaR (95%),CVaR (95%)
Baseline,-52168.21396791054,117670.32006914803,-238743.9419232953,143865.76755279966,186575.72795538476,-290595.50305338466
High_Volatility,-45065.17581212677,235192.86054436793,-426595.64841914637,346999.98214284854,381530.4726070196,-512826.6252395458
Low_Volatility,-57286.53974540408,57241.669648206334,-149198.8589634759,39019.46795558572,91912.31921807183,-177124.82068383283
Fast_Mean_Reversion,-75695.88293617226,87029.04077333583,-218327.0412877289,68487.05220149155,142631.15835155663,-253377.0834946811
Slow_Mean_Reversion,-38855.517577129394,137664.91092976497,-256432.88713954447,198162.93134938553,217577.3695624151,-313321.20162986056
High_Long_Term_Mean,-2268.7797766284134,109796.35514325449,-180583.95898284722,173302.1397705813,178315.1792062188,-230563.66031268417
Low_Long_Term_Mean,-83577.83137069258,113538.00845375798,-268845.941789885,102003.81890470382,185268.1104191924,-318861.4532044131
Rate_Shock_Up,-14553.998612589914,113347.08469132945,-193749.6229063438,171401.51472918154,179195.6242937539,-248646.9176283424
Rate_Shock_Down,-97527.13906986857,116200.5247062853,-291185.54347194365,89467.91521239893,193658.40440207507,-344751.6314451375
Stagflation,15662.542287466844,174730.06005801476,-274836.75193614175,294898.8681124005,290499.29422360857,-340663.002678365
Extreme_Volatility,-44754.63135964894,351505.5850787102,-617881.4578385368,533082.3488935356,573126.8264788879,-760701.2285205787
